Date,Open,High,Low,Close,Adj Close,Volume
2018-10-26,42.730000,44.029999,41.970001,43.759998,41.912014,595700
2018-10-29,44.200001,45.939999,43.779999,44.840000,42.946404,590200
2018-10-30,44.910000,46.169998,44.869999,46.099998,44.153183,544000
2018-10-31,46.490002,48.029999,46.490002,46.860001,44.881100,1073700
2018-11-01,47.000000,47.369999,46.220001,46.610001,44.641655,413200
2018-11-02,47.139999,47.230000,46.009998,46.360001,44.402214,471400
2018-11-05,46.360001,46.700001,45.560001,46.360001,44.402214,423600
2018-11-06,46.369999,47.439999,45.910000,47.029999,45.043915,360300
2018-11-07,47.070000,47.450001,45.930000,47.119999,45.130119,344700
2018-11-08,46.919998,47.660000,46.919998,47.419998,45.417450,225100
2018-11-09,47.320000,47.930000,46.720001,47.189999,45.197163,278600
2018-11-12,47.119999,47.310001,46.119999,46.189999,44.239391,220800
2018-11-13,46.419998,47.349998,46.270000,46.389999,44.430950,139900
2018-11-14,46.779999,47.049999,45.009998,45.700001,43.912075,304700
2018-11-15,45.410000,46.869999,44.970001,46.810001,44.978649,270400
2018-11-16,46.480000,47.529999,46.299999,47.049999,45.209263,417000
2018-11-19,47.040001,47.810001,46.680000,46.950001,45.113171,426400
2018-11-20,46.689999,47.349998,46.110001,46.480000,44.661560,336200
2018-11-21,46.560001,47.570000,46.029999,46.610001,44.786472,195000
2018-11-23,46.270000,47.259998,46.160000,46.650002,44.824905,99000
2018-11-26,47.150002,48.160000,47.139999,47.369999,45.516735,452400
2018-11-27,47.400002,47.430000,46.139999,46.430000,44.613510,319900
2018-11-28,46.709999,47.160000,45.470001,46.980000,45.141991,405000
2018-11-29,46.759998,47.230000,46.259998,46.779999,44.949818,331200
2018-11-30,46.630001,47.529999,46.630001,47.200001,45.353394,419800
2018-12-03,47.700001,48.020000,46.169998,46.900002,45.065128,299200
2018-12-04,46.779999,47.040001,44.049999,44.369999,42.634106,450200
2018-12-06,43.680000,44.090000,41.520000,43.840000,42.450130,662300
2018-12-07,43.750000,44.939999,43.590000,44.250000,42.847134,493100
2018-12-10,44.160000,44.320000,42.759998,43.049999,41.685177,321500
2018-12-11,43.480000,43.820000,42.389999,42.430000,41.084831,327300
2018-12-12,42.919998,43.470001,42.369999,42.959999,41.598026,306600
2018-12-13,42.959999,43.270000,41.209999,41.250000,39.942242,644000
2018-12-14,41.000000,41.830002,39.910000,40.060001,38.789967,526000
2018-12-17,39.980000,40.810001,39.419998,39.490002,38.238041,562900
2018-12-18,39.630001,40.450001,38.310001,38.730000,37.502132,692000
2018-12-19,38.810001,39.209999,37.369999,37.529999,36.340176,458800
2018-12-20,37.259998,37.820000,37.060001,37.400002,36.214302,601500
2018-12-21,37.410000,38.689999,35.759998,35.860001,34.723122,1446200
2018-12-24,35.700001,36.430000,35.020000,35.080002,33.967854,233300
2018-12-26,35.130001,37.009998,34.619999,36.849998,35.681736,697700
2018-12-27,36.330002,36.889999,35.160000,36.259998,35.110439,480800
2018-12-28,36.549999,37.279999,36.040001,36.880001,35.710785,509600
2018-12-31,37.000000,37.160000,36.090000,36.610001,35.449345,787600
2019-01-02,36.090000,37.770000,36.009998,37.720001,36.524155,501600
2019-01-03,37.549999,38.639999,37.080002,37.689999,36.495106,365200
2019-01-04,38.230000,39.299999,38.090000,39.119999,37.879768,339900
2019-01-07,38.970001,40.470001,38.790001,39.750000,38.489796,565700
2019-01-08,40.060001,40.200001,38.869999,40.180000,38.906166,392300
2019-01-09,40.209999,40.910000,40.020000,40.490002,39.206337,424100
2019-01-10,40.389999,40.830002,39.770000,40.520000,39.235382,385400
2019-01-11,40.410000,40.889999,39.900002,40.400002,39.119190,358800
2019-01-14,40.099998,41.270000,40.099998,40.799999,39.506508,332500
2019-01-15,40.840000,41.209999,40.290001,40.869999,39.574291,162800
2019-01-16,41.090000,41.990002,40.830002,41.880001,40.552269,203500
2019-01-17,41.740002,42.509998,41.340000,42.400002,41.055782,325300
2019-01-18,42.450001,43.700001,42.090000,43.639999,42.256470,571900
2019-01-22,43.139999,43.959999,42.000000,42.480000,41.133247,429400
2019-01-23,42.720001,44.520000,41.860001,41.970001,40.639416,301000
2019-01-24,41.790001,42.389999,41.509998,42.029999,40.697510,222900
2019-01-25,42.150002,42.540001,41.869999,42.470001,41.123566,390300
2019-01-28,45.000000,46.619999,43.849998,44.750000,43.331276,4062500
2019-01-29,45.570000,46.090000,44.880001,45.160000,43.728283,1338300
2019-01-30,45.299999,45.580002,44.290001,44.590000,43.176357,1080500
2019-01-31,44.230000,44.869999,43.630001,44.459999,43.050476,813100
2019-02-01,44.560001,44.930000,44.230000,44.680000,43.263496,936300
2019-02-04,44.700001,45.330002,44.520000,45.180000,43.747650,452900
2019-02-05,45.169998,45.410000,44.560001,45.070000,43.641136,390000
2019-02-06,44.849998,45.360001,44.380001,45.290001,43.854160,529600
2019-02-07,45.529999,46.380001,45.209999,45.639999,44.193066,664600
2019-02-08,45.959999,46.090000,44.869999,45.060001,43.631454,509900
2019-02-11,45.270000,45.330002,44.080002,45.209999,43.776695,542600
2019-02-12,45.490002,45.910000,45.169998,45.419998,43.980038,562800
2019-02-13,45.450001,45.820000,45.189999,45.290001,43.854160,634300
2019-02-14,44.900002,45.299999,44.560001,44.910000,43.630714,525700
2019-02-15,45.240002,47.029999,45.130001,46.840000,45.505737,936500
2019-02-19,46.459999,47.080002,46.330002,46.810001,45.476589,848300
2019-02-20,46.880001,47.490002,46.570000,47.450001,46.098358,670700
2019-02-21,47.509998,47.580002,46.700001,47.200001,45.855484,552000
2019-02-22,47.110001,47.490002,46.939999,47.169998,45.826336,453800
2019-02-25,47.480000,47.709999,46.540001,46.650002,45.321152,312600
2019-02-26,46.389999,46.869999,45.810001,45.840000,44.534222,593500
